Epoch,Split,MSE,MAE,SSIM_Loss,Gradient,Total
1,train,0.0017596342081204056,0.02860739953815937,0.08871269950866699,0.10114041587114334,0.22022014912609011
1,val,0.000758443104479889,0.02099110577611407,0.053303087213236816,0.08115670654424437,0.15620934263807512
2,train,0.000778901189379394,0.02118418044447899,0.05442012596130371,0.08128161643743514,0.15766482403259724
2,val,0.0006827273262237573,0.019616277449449916,0.0477953291243049,0.07662416467810892,0.1447184985780875
3,train,0.0007099302687682211,0.020140284192562103,0.049921065330505374,0.0778252427816391,0.1485965225734748
3,val,0.0006424750310404428,0.019029597615360456,0.044555788207205994,0.07456492960073385,0.13879279045434073
4,train,0.0006804597231559455,0.01964989904463291,0.04773682279586792,0.07615848371982574,0.14422566528348252
4,val,0.0006363822086447268,0.018964927963865032,0.04434861878680575,0.07364144850118905,0.13759137746050454
5,train,0.0007259546965360642,0.019855100923776625,0.04795283164978027,0.07664296005964279,0.14517684732973574
5,val,0.0007786475597275717,0.02094580184454751,0.04962001522635199,0.07962639900339637,0.15097086363402346
6,train,0.0007246357737109065,0.019988802149891852,0.04798771858215332,0.07705187017917633,0.1457530266849324
6,val,0.0006391991387346795,0.018878530283832247,0.043445807353706116,0.07302820981497977,0.13599174659125282
7,train,0.0006541492620483041,0.019188211795687676,0.04549484634399414,0.07455183405876159,0.1398890414604917
7,val,0.0006123551921652048,0.01837693495308138,0.042176599335518615,0.07197499730784422,0.1331408867886094
8,train,0.0006406660067848862,0.018980943799018858,0.04472167043685913,0.07387066791057587,0.13821394815323873
8,val,0.0005959638277258558,0.018134953121945355,0.041486984225595075,0.07127682532474494,0.13149472650001123
9,train,0.0006310085418634116,0.018824710047245025,0.04402997055053711,0.07332553161382675,0.1368112207534723
9,val,0.0005891556290992696,0.018041715975020342,0.04080668034826874,0.07093088594591541,0.13036843789830377
10,train,0.0006278057876974345,0.018727737039327622,0.04355047435760498,0.07303271415233611,0.13593873133696616
10,val,0.0005879852013176034,0.018063311743888127,0.04076958955473201,0.07087587190281813,0.13029675840275587
11,train,0.0006193394550122321,0.01862049979865551,0.04317946319580078,0.07265292462110519,0.1350722270705737
11,val,0.000583663889782349,0.017956853387462106,0.04056656056908286,0.07073785170058536,0.12984492954691268
12,train,0.0006137921590358019,0.01852519161403179,0.04287576494216919,0.07233279259204864,0.13434754130728543
12,val,0.0005804868270405776,0.0178807358595596,0.040286343948096985,0.07012678891610188,0.12887435555079904
13,train,0.000608491987735033,0.01843077073097229,0.042495453929901124,0.07203129237890243,0.13356600902751087
13,val,0.0005903243425355595,0.01802382934957173,0.04160425351683501,0.07048123638341382,0.1306996435923561
14,train,0.0006042673074640333,0.01835602583885193,0.0420927001953125,0.07175008445978165,0.1328030778014101
14,val,0.0005702358981220728,0.017686806559847418,0.03941668180903052,0.06982601671272022,0.12749974097972022
15,train,0.0005978677341714502,0.018239549160003664,0.0416660831451416,0.07138283921480179,0.13188633925411852
