Epoch,Train_Loss,Val_Loss,Train_Accuracy,Val_Accuracy
1,0.7588104985952377,2.571742504835129,69.025,50.1
2,0.33754653369635346,0.30348361749202013,88.925,90.9
3,0.26845283033698797,0.05661430844338611,92.225,99.3
4,0.24555765492469073,0.5085615422576666,92.95,80.5
5,0.16027704119309782,0.011592406939598732,95.2,99.5
6,0.18807644288241862,0.027554914195206948,95.65,99.2
7,0.11538803442567587,0.06507272985618329,96.675,98.2
8,0.0719993253259454,0.0076474934462567035,98.3,99.8
9,0.10750038368767127,0.22552721569081768,97.45,93.1
10,0.09005788585077971,0.012319086064849216,98.0,99.7
11,0.11819537186808884,0.1536193063511746,96.775,96.3
12,0.06158292734390124,0.018141885838304006,98.425,99.4
13,0.047342117538442835,0.021389646789884864,98.725,99.7
14,0.15555416255525778,0.02550176179192931,97.225,99.3
15,0.10600130406359676,0.05093662618310191,97.625,98.7
16,0.14316805072245187,0.02371870670140197,97.65,99.6
17,0.10748617871571332,0.10858632990857586,97.575,96.3
18,0.19021454094164073,0.009681312381871976,95.8,99.6
