Epoch,Split,MSE,MAE,SSIM_Loss,Gradient,Total
1,train,0.007378096003085375,0.05209696850180626,0.30279366874694824,0.17233588457107543,0.5346046178229154
1,val,0.0024005714076338336,0.03389786230400205,0.1903567723929882,0.12371266493573785,0.35036787104036193
2,train,0.002428586771711707,0.033154882833361626,0.1812986159324646,0.118763188123703,0.3356452736612409
2,val,0.00193117090020678,0.029998786747455597,0.15869133919477463,0.110187703743577,0.300809000586014
3,train,0.0020462129982188344,0.030254391476511957,0.16273725605010986,0.11046700936555863,0.30550486989039927
3,val,0.0018112724537786562,0.02816223312402144,0.139756815508008,0.10289624729193747,0.27262656837774557
4,train,0.002057024223729968,0.02998922099173069,0.15267672538757324,0.10664116424322129,0.2913641348462552
4,val,0.0016613405823591165,0.02731096901698038,0.1403333581984043,0.10235244175419211,0.2716581095519359
5,train,0.0017494496982544661,0.027580497071146966,0.1412800998687744,0.10187265533208847,0.2724827019702643
5,val,0.0016558968018216547,0.027003489201888442,0.13061545602977276,0.09871568810194731,0.25799053013543016
6,train,0.0016630381448194385,0.026652758359909056,0.13576605224609375,0.0990435363650322,0.2631253851158544
6,val,0.0014857001951895654,0.024830134527292103,0.12218213453888893,0.09394086664542556,0.24243883590679616
7,train,0.0015990341156721115,0.025804662138223647,0.13083726978302002,0.09650300836563111,0.2547439744025469
7,val,0.00248773412022274,0.02934638416627422,0.13200693763792515,0.09897677041590214,0.26281782634032425
8,train,0.0015550348907709122,0.025187115937471388,0.12720543766021727,0.09457383608818054,0.24852142457664012
8,val,0.0015972548353602178,0.02483307005604729,0.12129280157387257,0.09220280917361379,0.23992593563889386
9,train,0.001453900217078626,0.02416134051978588,0.11814722871780395,0.0911389844417572,0.23490145389642564
9,val,0.0013206918483774643,0.022539928497280926,0.1032356396317482,0.08557638642378151,0.2126726464011881
10,train,0.001413014686666429,0.023716643214225768,0.11479957723617554,0.08985469347238541,0.22978392860945313
10,val,0.0014148224763630424,0.023419806675519794,0.10752351395785809,0.08852063654921949,0.2208787796589604
11,train,0.0013836984159424901,0.023313127145171166,0.11327043533325196,0.08848273581266403,0.22644999670702964
11,val,0.0013014079122513067,0.02293514780467376,0.10809422843158245,0.08791054924950004,0.22024133339800755
12,train,0.001313987208530307,0.022451060771942137,0.10787373161315918,0.0857023076415062,0.21734108723513784
12,val,0.0013461362395901233,0.023080372717231512,0.1164801325649023,0.08772630267776549,0.22863294419948943
13,train,0.0013023416022770106,0.022509895712137223,0.10749882745742798,0.08590251153707504,0.21721357630891724
13,val,0.0012047821583109908,0.021276041050441563,0.09951917268335819,0.08185259066522121,0.20385258655733196
14,train,0.0013235424449667334,0.022530475482344627,0.10891251707077027,0.08619254285097122,0.21895907784905286
14,val,0.0013890463942516362,0.023274805978871882,0.10978611186146736,0.0876755437348038,0.22212550796939468
15,train,0.0013158477889373898,0.02252621792256832,0.10983585643768311,0.08599542272090911,0.21967334487009793
